Name,Type,Level,Race,Attribute,ATK,DEF,Collected
Limit Reverse,Trap Card,,Continuous,,,,TRUE
The 13th Grave,Normal Monster,3,Zombie,DARK,1200,900,FALSE
Gem-Enhancement,Trap Card,,Normal,,,,TRUE
Magician's Circle,Trap Card,,Normal,,,,FALSE
Castle of Dark Illusions,Flip Effect Monster,4,Fiend,DARK,920,1930,TRUE
Cipher Spectrum,Trap Card,,Normal,,,,FALSE
Lava Golem,Effect Monster,8,Fiend,FIRE,3000,2500,TRUE
Dark Magic Expanded,Spell Card,,Quick-Play,,,,FALSE
Seismic Crasher,Effect Monster,3,Rock,EARTH,1400,300,TRUE
Laval Lancelord,Effect Monster,6,Warrior,FIRE,2100,200,FALSE
Skull Dice,Trap Card,,Normal,,,,TRUE
Performapal Springoose,Effect Monster,5,Winged Beast,WIND,1100,2400,FALSE
Miracle Flipper,Effect Monster,2,Spellcaster,LIGHT,300,500,TRUE
Key Mouse,Tuner Monster,1,Beast,EARTH,100,100,FALSE
Mischief of the Gnomes,Trap Card,,Normal,,,,TRUE
Vylon Hept,Effect Monster,4,Fairy,LIGHT,1800,800,FALSE
Koa'ki Meiru Prototype,Effect Monster,4,Rock,EARTH,1800,1800,TRUE
Koa'ki Meiru Token,Token,,Rock,,,,FALSE
Hero Flash!!,Spell Card,,Normal,,,,TRUE
E - Emergency Call,Spell Card,,Normal,,,,FALSE
Fenrir,Effect Monster,4,Beast,WATER,1400,1200,TRUE
Ballista of Rampart Smashing,Spell Card,,Equip,,,,FALSE
Rapid Warrior,Effect Monster,4,Warrior,WIND,1200,200,TRUE
Inzektor Gauntlet,Trap Card,,Normal,,,,FALSE
Mound of the Bound Creator,Spell Card,,Field,,,,TRUE
Mermail Abyssnose,Effect Monster,4,Fish,WATER,1500,1500,FALSE
Jet Warrior,Synchro Monster,5,Warrior,FIRE,2100,1200,TRUE
T.G. Warwolf,Effect Monster,3,Beast-Warrior,DARK,1200,0,FALSE
A Legendary Ocean,Spell Card,,Field,,,,TRUE
The Regulation of Tribe,Trap Card,,Continuous,,,,FALSE
Amplifier,Spell Card,,Equip,,,,TRUE
Spell Gear,Spell Card,,Normal,,,,FALSE
Gusto Squirro,Tuner Monster,2,Thunder,WIND,0,1800,TRUE
Performapal Elephammer,Effect Monster,6,Beast,EARTH,2600,1800,FALSE
Evilswarm Nightmare,XYZ Monster,4,Fiend,DARK,950,1950,TRUE
Dinomist Brachion,Pendulum Effect Monster,5,Machine,WATER,2000,800,FALSE
Gagaga Sister,Effect Monster,2,Spellcaster,DARK,200,800,TRUE
Wattgiraffe,Effect Monster,4,Thunder,LIGHT,1200,100,FALSE
The A. Forces,Spell Card,,Continuous,,,,TRUE
Summoner Monk,Effect Monster,4,Spellcaster,DARK,800,1600,FALSE
Gearfried the Iron Knight,Effect Monster,4,Warrior,EARTH,1800,1600,TRUE
Goblin of Greed,Effect Monster,4,Fiend,EARTH,1000,1800,FALSE
Bahamut Shark,XYZ Monster,4,Sea Serpent,WATER,2600,2100,TRUE
The Book of the Law,Spell Card,,Quick-Play,,,,FALSE
Frightfur Tiger,Fusion Monster,6,Fiend,DARK,1900,1200,TRUE
Driving Snow,Trap Card,,Normal,,,,FALSE
Water Spirit,Normal Tuner Monster,1,Aqua,WATER,400,1200,TRUE
Superheavy Samurai Warlord Susanowo,Synchro Monster,10,Machine,EARTH,2400,3800,FALSE
Cherry Inmato,Tuner Monster,2,Plant,DARK,700,400,TRUE
Prevent Rat,Normal Monster,4,Beast,EARTH,500,2000,FALSE
Totem Dragon,Effect Monster,2,Dragon,EARTH,400,200,TRUE
PSY-Frame Circuit,Spell Card,,Field,,,,FALSE
Daigusto Emeral,XYZ Monster,4,Rock,WIND,1800,800,TRUE
